Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена ;Стоимость ;Примечание ;Фото
Пятки под фасадный алюминий ;84 стойка;;;15;150,00 ₽;2 250,00 ₽;;
Болт Фасадный комплект ;;;;27;100,00 ₽;2 700,00 ₽;;
Крышка декоративная;;;4400;1;;0,00 ₽;;
Ригель 105;;;4000;1;;0,00 ₽;;
Закладной сухарь ригеля;;;1300;1;;0,00 ₽;;
Универсальный сухарь ригеля для углового соединения;;;2800;1;;0,00 ₽;;
Стартовая Алюминиевая под 1 стекло;;;2500;1;;0,00 ₽;;
Болт крепежа СП Фасад;;;45;200;10,00 ₽;2 000,00 ₽;;
Бутиловая лента для Фасада;;;;20;100,00 ₽;2 000,00 ₽;;
Итог;;;;;;8 950,00 ₽;;
