Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена за метр;Цена за штуку ;Стоимость общая;Примечание;Фото
Пластина Декор;белая;80;2500;3;130,00 ₽;325,00 ₽;975,00 ₽;Себестоимость ;
Пластина Декор;коричневая;80;2000;1;130,00 ₽;260,00 ₽;260,00 ₽;Себестоимость ;
Уголок декоративный 20*40;коричневый;;2000;20;130,00 ₽;260,00 ₽;5 200,00 ₽;Себестоимость ;
Уголок декоративный 20*40;Антрацит;;2000;18;130,00 ₽;260,00 ₽;4 680,00 ₽;Себестоимость ;
Уголок декоративный 20*40;Золотой дуб 1 сторона;;2000;2;350,00 ₽;700,00 ₽;1 400,00 ₽;Себестоимость ;
Уголок декоративный 20*40;белый;;2500;1;130,00 ₽;325,00 ₽;325,00 ₽;Себестоимость ;
Пластина Декор;коричневая;90;2000;6;130,00 ₽;260,00 ₽;1 560,00 ₽;Себестоимость ;
Пластина Декор;коричневая;90;2500;2;130,00 ₽;325,00 ₽;650,00 ₽;Себестоимость ;
Пластина Декор;коричневая;120;2000;2;130,00 ₽;260,00 ₽;520,00 ₽;Себестоимость ;
Пластина Декор;коричневая;120;1500;2;130,00 ₽;195,00 ₽;390,00 ₽;Себестоимость ;
Пластина Декор;коричневая;120;1000;4;130,00 ₽;130,00 ₽;520,00 ₽;Себестоимость ;
Нащельник мягкий;;40;20000;1;50,00 ₽;1 000,00 ₽;1 000,00 ₽;Себестоимость ;
Итог;;;;;;;17 480,00 ₽;;
