Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена за метр;Цена за штуку;Стоимость ;Примечание ;Фото
Подоконик обычный;Белый;100;1300;1;110,00 ₽;143,00 ₽;143,00 ₽;;
Подоконик обычный;Белый;150;1100;1;170,00 ₽;187,00 ₽;187,00 ₽;;
Подоконик обычный;Белый;150;840;1;170,00 ₽;142,80 ₽;142,80 ₽;;
Подоконик обычный;Белый;200;1600;1;230,00 ₽;368,00 ₽;368,00 ₽;;
Подоконик обычный;Белый;200;1250;3;230,00 ₽;287,50 ₽;862,50 ₽;;
Подоконик обычный;Белый;200;980;1;230,00 ₽;225,40 ₽;225,40 ₽;;
Подоконик обычный;Белый;250;1400;1;290,00 ₽;406,00 ₽;406,00 ₽;;
Подоконик обычный;Белый;250;600;8;290,00 ₽;174,00 ₽;1 392,00 ₽;;
Подоконик обычный;Белый;300;1950;2;340,00 ₽;663,00 ₽;1 326,00 ₽;;
Подоконик обычный;Белый;300;1200;2;340,00 ₽;408,00 ₽;816,00 ₽;;
Подоконик обычный;Белый;300;1700;2;340,00 ₽;578,00 ₽;1 156,00 ₽;;
Подоконик обычный;Белый;300;2000;1;340,00 ₽;680,00 ₽;680,00 ₽;;
Подоконик обычный;Белый;300;870;1;340,00 ₽;295,80 ₽;295,80 ₽;;
Подоконик обычный;Белый;300;2800;2;340,00 ₽;952,00 ₽;1 904,00 ₽;;
Подоконик обычный;белый;300;1930;1;340,00 ₽;656,20 ₽;656,20 ₽;;
Подоконик Кристалит;?;350;2200;1;2 100,00 ₽;4 620,00 ₽;4 620,00 ₽;;
Подоконик Кристалит;Атрацит;380;860;1;2 100,00 ₽;1 806,00 ₽;1 806,00 ₽;;
Подоконик обычный;Белый;450;1550;1;550,00 ₽;852,50 ₽;852,50 ₽;;
Подоконик обычный;Белый;450;1900;1;550,00 ₽;1 045,00 ₽;1 045,00 ₽;;
Подоконик обычный;Белый;450;2000;1;550,00 ₽;1 100,00 ₽;1 100,00 ₽;;
Подоконик обычный;Белый;450;1150;2;550,00 ₽;632,50 ₽;1 265,00 ₽;;
Подоконик Кристалит;Атрацит;450;890;1;3 000,00 ₽;2 670,00 ₽;2 670,00 ₽;;
Заглушка для подоконика ;белая;;;6;;0,00 ₽;0,00 ₽;;
Соеденитель подоконика;белый;;;7;;0,00 ₽;0,00 ₽;;
Заглушка для подоконика;коричневая;;;6;;0,00 ₽;0,00 ₽;;
Итог;;;;;;;23 919,20 ₽;;
