Наименование ;Характеристики;Ширина;Длина/Высота;Кол-во;Цена за штуку;Стоимость ;Примечание ;Фото
Сетка белая;;400;660;1;700,00 ₽;700,00 ₽;;
Сетка белая;;300;700;1;700,00 ₽;700,00 ₽;;
Сетка белая;;330;700;1;700,00 ₽;700,00 ₽;;
Сетка белая;;550;1470;2;700,00 ₽;1 400,00 ₽;;
Сетка белая;;695;1330;1;700,00 ₽;700,00 ₽;;
Сетка белая;;470;1255;1;700,00 ₽;700,00 ₽;;
Сетка белая;;510;1185;1;700,00 ₽;700,00 ₽;;
Сетка белая;;570;640;1;700,00 ₽;700,00 ₽;;
Сетка белая;;590;1470;1;700,00 ₽;700,00 ₽;;
Сетка белая;;720;1260;1;700,00 ₽;700,00 ₽;;
Сетка белая;;460;730;1;700,00 ₽;700,00 ₽;;
Сетка белая;;715;1320;1;700,00 ₽;700,00 ₽;;
Сетка белая;;440;1320;1;700,00 ₽;700,00 ₽;;
Сетка коричневая;;880;1380;1;700,00 ₽;700,00 ₽;;
Сетка коричневая;;690;1310;1;700,00 ₽;700,00 ₽;;
Сетка коричневая;;630;890;1;700,00 ₽;700,00 ₽;;
Сетка коричневая;;665;1245;1;700,00 ₽;700,00 ₽;;
Сетка коричневая;;765;1180;1;700,00 ₽;700,00 ₽;;
Сетка коричневая;;760;1190;1;700,00 ₽;700,00 ₽;;
Сетка коричневая;;645;1355;1;700,00 ₽;700,00 ₽;;
Сетка коричневая;;655;1355;1;700,00 ₽;700,00 ₽;;
Сетка антрацит;;770;1265;1;700,00 ₽;700,00 ₽;;
Сетка антрацит;;670;850;1;700,00 ₽;700,00 ₽;;
Плиссе Антрацит;порог низкий /антикошка;2335;2115;1;15 500,00 ₽;15 500,00 ₽;;
Плиссе Антрацит;порог низкий /антикошка;2295;2115;1;15 500,00 ₽;15 500,00 ₽;;
 Сетка дверь; белая;;;;;0,00 ₽;;
;;;;;;0,00 ₽;;
Итог;;;;;;47 800,00 ₽;;
